text,label
"Security alert for your Microsoft account Dear account holder, We detected unusual activity on your account. If you do not act, your account will be suspended. Please confirm now to avoid suspension. This is not spam trust us. Link: https://university.edu/course",phishing
"Service maintenance notice Hello all, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Course schedule Hello all, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Amazon account - immediately Dear user, We detected potentially fraudulent activity on your account. If you do not act, we will close your account. Please click here to resolve. This is not spam trust us. Link: https://short.ly/1430",phishing
"Monthly newsletter Hello, Thank you for your purchase. Your receipt is attached. For reference: https://company.com/portal Thanks,",legitimate
"Security alert for your Amazon account - suspend Dear customer, We detected suspicious activity on your account. If you do not act, we will close your account. Please click here to resolve. We notice problem with your account. Link: http://auth-check.io/718",phishing
"Security alert for your Bank of America account - click here Dear account holder, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please confirm now to avoid suspension. We notice problem with your account. Link: https://short.ly/4570",phishing
"Security alert for your Netflix account - immediately Dear account holder, We detected unusual activity on your account. If you do not act, your account will be suspended. Please click here to resolve. You must act now immediate. Link: https://company.com/portal",phishing
"Project status update Hi team, Your order has shipped. Tracking information is included below. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Microsoft account Dear account holder, We detected unusual activity on your account. If you do not act, your account will be suspended. Please update your payment method. We notice problem with your account. Link: https://short.ly/6925",phishing
"Security alert for your Netflix account Dear account holder, We detected unusual activity on your account. If you do not act, unauthorized login detected. Please update your payment method. This is not spam trust us. Link: http://login-verify.com/385",phishing
"Security alert for your PayPal account - limited time Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, unauthorized login detected. Please confirm now to avoid suspension. We notice problem with your account. Link: https://company.com/portal",phishing
"Your order receipt Hello all, Here is the monthly report. Let me know if you have any questions. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Course schedule Hi, Your order has shipped. Tracking information is included below. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Policy update Dear student, Here is the policy update for your review. No action is required. For reference: https://company.com/portal Thanks,",legitimate
"Monthly newsletter Dear student, Here is the monthly report. Let me know if you have any questions. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Service maintenance notice Hello, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://company.com/portal Thanks,",legitimate
"Invoice available Dear student, Thank you for your purchase. Your receipt is attached. For reference: https://service.example.com/login Thanks,",legitimate
"Policy update Hello all, Your order has shipped. Tracking information is included below. For reference: https://company.com/portal Thanks,",legitimate
"Service maintenance notice Hello all, Here is the policy update for your review. No action is required. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Course schedule Dear student, Here is the monthly report. Let me know if you have any questions. For reference: https://service.example.com/login Thanks,",legitimate
"Team meeting agenda Hi team, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://university.edu/course Thanks,",legitimate
"Monthly newsletter Hi team, Thank you for your purchase. Your receipt is attached. For reference: https://university.edu/course Thanks,",legitimate
"Invoice available Hello all, Thank you for your purchase. Your receipt is attached. For reference: https://service.example.com/login Thanks,",legitimate
"Team meeting agenda Hi team, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Microsoft account - security alert Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, unauthorized login detected. Please confirm now to avoid suspension. Please to verify. Link: http://secure-update.net/611",phishing
"Security alert for your Bank of America account - confirm now Dear account holder, We detected suspicious activity on your account. If you do not act, access will be limited. Please verify your identity immediately. You must act now immediate. Link: https://short.ly/5636",phishing
"Security alert for your Microsoft account - confirm now Dear user, We detected unusual activity on your account. If you do not act, we will close your account. Please verify your identity immediately. This is not spam trust us. Link: https://bit.ly/6674",phishing
"Project status update Hello all, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://service.example.com/login Thanks,",legitimate
"Service maintenance notice Hello, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Microsoft account Dear user, We detected unusual activity on your account. If you do not act, we will close your account. Please click here to resolve. Please to verify. Link: https://tinyurl.com/4937",phishing
"Project status update Hi, Here is the monthly report. Let me know if you have any questions. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Apple ID account - password reset Dear customer, We detected potentially fraudulent activity on your account. If you do not act, your account will be suspended. Please click here to resolve. Please to verify. Link: http://auth-check.io/974",phishing
"Policy update Hi, Thank you for your purchase. Your receipt is attached. For reference: https://university.edu/course Thanks,",legitimate
"Invoice available Hi, Thank you for your purchase. Your receipt is attached. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Team meeting agenda Hello, Here is the monthly report. Let me know if you have any questions. For reference: https://company.com/portal Thanks,",legitimate
"Security alert for your Apple ID account Dear customer, We detected potentially fraudulent activity on your account. If you do not act, unauthorized login detected. Please confirm now to avoid suspension. Please to verify. Link: https://service.example.com/login",phishing
"Project status update Hi team, Thank you for your purchase. Your receipt is attached. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Security alert for your Netflix account - confirm now Dear customer, We detected unusual activity on your account. If you do not act, we will close your account. Please update your payment method. Please to verify. Link: https://service.example.com/login",phishing
"Invoice available Hi, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Policy update Hi, Here is the policy update for your review. No action is required. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Security alert for your Apple ID account - suspend Dear customer, We detected unusual activity on your account. If you do not act, your account will be suspended. Please click here to resolve. Please to verify. Link: https://tinyurl.com/2029",phishing
"Security alert for your Bank of America account - security alert Dear customer, We detected suspicious activity on your account. If you do not act, your account will be suspended. Please verify your identity immediately. Please to verify. Link: http://account-security.help/202",phishing
"Security alert for your PayPal account Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please confirm now to avoid suspension. We notice problem with your account. Link: https://short.ly/3086",phishing
"Security alert for your Microsoft account - password reset Dear account holder, We detected suspicious activity on your account. If you do not act, we will close your account. Please update your payment method. You must act now immediate. Link: http://auth-check.io/178",phishing
"Security alert for your Bank of America account - immediately Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, we will close your account. Please verify your identity immediately. Please to verify. Link: https://tinyurl.com/3273",phishing
"Monthly newsletter Hello all, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Amazon account - click here Dear user, We detected potentially fraudulent activity on your account. If you do not act, your account will be suspended. Please update your payment method. Please to verify. Link: https://company.com/portal",phishing
"Security alert for your Amazon account - suspend Dear account holder, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please confirm now to avoid suspension. Please to verify. Link: https://short.ly/5901",phishing
"Invoice available Hi team, Thank you for your purchase. Your receipt is attached. For reference: https://university.edu/course Thanks,",legitimate
"Course schedule Dear student, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Project status update Hi team, Here is the monthly report. Let me know if you have any questions. For reference: https://company.com/portal Thanks,",legitimate
"Security alert for your Netflix account - immediately Dear customer, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please confirm now to avoid suspension. We notice problem with your account. Link: https://company.com/portal",phishing
"Security alert for your Netflix account - verify your account Dear customer, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please confirm now to avoid suspension. We notice problem with your account. Link: https://short.ly/2680",phishing
"Security alert for your Apple ID account - suspend Dear account holder, We detected unusual activity on your account. If you do not act, we will close your account. Please update your payment method. You must act now immediate. Link: http://account-security.help/852",phishing
"Security alert for your Amazon account - click here Dear user, We detected suspicious activity on your account. If you do not act, your account will be suspended. Please confirm now to avoid suspension. Please to verify. Link: http://auth-check.io/584",phishing
"Security alert for your Amazon account - suspend Dear account holder, We detected suspicious activity on your account. If you do not act, we will close your account. Please confirm now to avoid suspension. Please to verify. Link: http://secure-update.net/565",phishing
"Policy update Hi team, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Security alert for your Apple ID account Dear account holder, We detected unusual activity on your account. If you do not act, access will be limited. Please verify your identity immediately. This is not spam trust us. Link: https://service.example.com/login",phishing
"Your order receipt Hello all, Here is the policy update for your review. No action is required. For reference: https://service.example.com/login Thanks,",legitimate
"Course schedule Hi, Here is the monthly report. Let me know if you have any questions. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Security alert for your Amazon account - confirm now Dear user, We detected suspicious activity on your account. If you do not act, your account will be suspended. Please confirm now to avoid suspension. Please to verify. Link: https://bit.ly/2776",phishing
"Your order receipt Dear student, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://company.com/portal Thanks,",legitimate
"Project status update Hi team, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Course schedule Hi team, Your order has shipped. Tracking information is included below. For reference: https://company.com/portal Thanks,",legitimate
"Security alert for your Microsoft account - limited time Dear account holder, We detected suspicious activity on your account. If you do not act, your account will be suspended. Please update your payment method. We notice problem with your account. Link: http://login-verify.com/557",phishing
"Security alert for your PayPal account - limited time Dear account holder, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please verify your identity immediately. Please to verify. Link: http://auth-check.io/894",phishing
"Security alert for your Amazon account Dear account holder, We detected unusual activity on your account. If you do not act, your account will be suspended. Please click here to resolve. We notice problem with your account. Link: https://short.ly/5336",phishing
"Security alert for your Netflix account - unusual activity Dear user, We detected suspicious activity on your account. If you do not act, we will close your account. Please update your payment method. Please to verify. Link: https://university.edu/course",phishing
"Security alert for your Microsoft account - verify your account Dear customer, We detected potentially fraudulent activity on your account. If you do not act, unauthorized login detected. Please click here to resolve. Please to verify. Link: https://company.com/portal",phishing
"Team meeting agenda Hi team, Thank you for your purchase. Your receipt is attached. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Microsoft account Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please click here to resolve. We notice problem with your account. Link: http://auth-check.io/849",phishing
"Policy update Dear student, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://company.com/portal Thanks,",legitimate
"Team meeting agenda Hi team, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Bank of America account Dear customer, We detected unusual activity on your account. If you do not act, we will close your account. Please verify your identity immediately. Please to verify. Link: https://tinyurl.com/6055",phishing
"Monthly newsletter Hi, Here is the policy update for your review. No action is required. For reference: https://company.com/portal Thanks,",legitimate
"Security alert for your Amazon account Dear customer, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please confirm now to avoid suspension. We notice problem with your account. Link: http://login-verify.com/572",phishing
"Project status update Hi team, Thank you for your purchase. Your receipt is attached. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Amazon account Dear customer, We detected suspicious activity on your account. If you do not act, we will close your account. Please update your payment method. You must act now immediate. Link: https://bit.ly/8546",phishing
"Security alert for your Bank of America account - urgent Dear account holder, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please verify your identity immediately. You must act now immediate. Link: https://bit.ly/3615",phishing
"Project status update Dear student, Your order has shipped. Tracking information is included below. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Your order receipt Hello, Here is the policy update for your review. No action is required. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Microsoft account - limited time Dear customer, We detected suspicious activity on your account. If you do not act, access will be limited. Please update your payment method. This is not spam trust us. Link: http://auth-check.io/459",phishing
"Invoice available Hi team, Here is the policy update for your review. No action is required. For reference: https://service.example.com/login Thanks,",legitimate
"Monthly newsletter Hi team, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Security alert for your Google account - unusual activity Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please update your payment method. Please to verify. Link: http://account-security.help/444",phishing
"Security alert for your PayPal account - suspend Dear account holder, We detected unusual activity on your account. If you do not act, your account will be suspended. Please verify your identity immediately. This is not spam trust us. Link: https://intranet.company.com/docs",phishing
"Project status update Hello, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://company.com/portal Thanks,",legitimate
"Security alert for your Amazon account Dear account holder, We detected unusual activity on your account. If you do not act, unauthorized login detected. Please click here to resolve. Please to verify. Link: https://company.com/portal",phishing
"Security alert for your Apple ID account Dear customer, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please update your payment method. This is not spam trust us. Link: https://short.ly/3255",phishing
"Your order receipt Hi, Thank you for your purchase. Your receipt is attached. For reference: https://university.edu/course Thanks,",legitimate
"Team meeting agenda Hi, Here is the policy update for your review. No action is required. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Monthly newsletter Hello, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Security alert for your Google account - verify your account Dear user, We detected suspicious activity on your account. If you do not act, access will be limited. Please confirm now to avoid suspension. You must act now immediate. Link: https://intranet.company.com/docs",phishing
"Security alert for your PayPal account - verify your account Dear customer, We detected potentially fraudulent activity on your account. If you do not act, unauthorized login detected. Please confirm now to avoid suspension. You must act now immediate. Link: https://tinyurl.com/7154",phishing
"Security alert for your Microsoft account Dear customer, We detected suspicious activity on your account. If you do not act, we will close your account. Please verify your identity immediately. We notice problem with your account. Link: http://login-verify.com/466",phishing
"Monthly newsletter Hi, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Your order receipt Dear student, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://service.example.com/login Thanks,",legitimate
"Team meeting agenda Hello, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://university.edu/course Thanks,",legitimate
"Invoice available Dear student, Here is the monthly report. Let me know if you have any questions. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Policy update Dear student, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Service maintenance notice Hi, Thank you for your purchase. Your receipt is attached. For reference: https://service.example.com/login Thanks,",legitimate
"Team meeting agenda Dear student, Your order has shipped. Tracking information is included below. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Apple ID account Dear account holder, We detected unusual activity on your account. If you do not act, we will close your account. Please confirm now to avoid suspension. Please to verify. Link: http://auth-check.io/915",phishing
"Team meeting agenda Dear student, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://company.com/portal Thanks,",legitimate
"Security alert for your Bank of America account Dear account holder, We detected suspicious activity on your account. If you do not act, we will close your account. Please update your payment method. Please to verify. Link: https://intranet.company.com/docs",phishing
"Security alert for your Google account - security alert Dear account holder, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please update your payment method. We notice problem with your account. Link: https://service.example.com/login",phishing
"Security alert for your Amazon account - urgent Dear customer, We detected suspicious activity on your account. If you do not act, access will be limited. Please click here to resolve. Please to verify. Link: http://login-verify.com/677",phishing
"Project status update Hi team, Here is the policy update for your review. No action is required. For reference: https://university.edu/course Thanks,",legitimate
"Monthly newsletter Hi team, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Monthly newsletter Hello all, Here is the policy update for your review. No action is required. For reference: https://service.example.com/login Thanks,",legitimate
"Project status update Hi, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Monthly newsletter Hi team, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Microsoft account Dear account holder, We detected suspicious activity on your account. If you do not act, your account will be suspended. Please update your payment method. We notice problem with your account. Link: https://service.example.com/login",phishing
"Security alert for your Bank of America account - suspend Dear customer, We detected suspicious activity on your account. If you do not act, access will be limited. Please click here to resolve. Please to verify. Link: https://university.edu/course",phishing
"Security alert for your Bank of America account Dear user, We detected potentially fraudulent activity on your account. If you do not act, unauthorized login detected. Please verify your identity immediately. This is not spam trust us. Link: https://short.ly/5304",phishing
"Team meeting agenda Hello, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Amazon account - limited time Dear account holder, We detected unusual activity on your account. If you do not act, unauthorized login detected. Please update your payment method. This is not spam trust us. Link: https://university.edu/course",phishing
"Team meeting agenda Hello all, Here is the policy update for your review. No action is required. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Your order receipt Dear student, Thank you for your purchase. Your receipt is attached. For reference: https://university.edu/course Thanks,",legitimate
"Service maintenance notice Hi team, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Microsoft account - confirm now Dear account holder, We detected unusual activity on your account. If you do not act, we will close your account. Please confirm now to avoid suspension. This is not spam trust us. Link: http://login-verify.com/922",phishing
"Security alert for your Amazon account Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, your account will be suspended. Please update your payment method. This is not spam trust us. Link: http://secure-update.net/449",phishing
"Invoice available Hello all, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Amazon account - verify your account Dear customer, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please update your payment method. Please to verify. Link: https://tinyurl.com/7697",phishing
"Security alert for your Netflix account - password reset Dear account holder, We detected unusual activity on your account. If you do not act, unauthorized login detected. Please verify your identity immediately. This is not spam trust us. Link: http://secure-update.net/577",phishing
"Team meeting agenda Dear student, Here is the monthly report. Let me know if you have any questions. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Security alert for your Amazon account - password reset Dear customer, We detected unusual activity on your account. If you do not act, we will close your account. Please update your payment method. We notice problem with your account. Link: http://secure-update.net/116",phishing
"Security alert for your Apple ID account - password reset Dear account holder, We detected unusual activity on your account. If you do not act, access will be limited. Please update your payment method. Please to verify. Link: https://service.example.com/login",phishing
"Team meeting agenda Hello, Here is the policy update for your review. No action is required. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Netflix account - confirm now Dear customer, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please verify your identity immediately. This is not spam trust us. Link: https://company.com/portal",phishing
"Security alert for your Microsoft account - security alert Dear account holder, We detected suspicious activity on your account. If you do not act, your account will be suspended. Please verify your identity immediately. Please to verify. Link: https://tinyurl.com/5967",phishing
"Policy update Hi, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Google account Dear customer, We detected unusual activity on your account. If you do not act, unauthorized login detected. Please update your payment method. Please to verify. Link: https://company.com/portal",phishing
"Your order receipt Hello, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Google account - limited time Dear user, We detected unusual activity on your account. If you do not act, your account will be suspended. Please confirm now to avoid suspension. This is not spam trust us. Link: http://auth-check.io/619",phishing
"Course schedule Dear student, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Bank of America account Dear user, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please click here to resolve. You must act now immediate. Link: http://login-verify.com/483",phishing
"Security alert for your Bank of America account Dear user, We detected suspicious activity on your account. If you do not act, access will be limited. Please click here to resolve. You must act now immediate. Link: https://bit.ly/9561",phishing
"Security alert for your Google account Dear customer, We detected unusual activity on your account. If you do not act, unauthorized login detected. Please confirm now to avoid suspension. We notice problem with your account. Link: http://account-security.help/942",phishing
"Service maintenance notice Dear student, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://company.com/portal Thanks,",legitimate
"Project status update Hello, Your order has shipped. Tracking information is included below. For reference: https://company.com/portal Thanks,",legitimate
"Monthly newsletter Dear student, Here is the monthly report. Let me know if you have any questions. For reference: https://company.com/portal Thanks,",legitimate
"Monthly newsletter Hello, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Course schedule Hello all, Here is the policy update for your review. No action is required. For reference: https://service.example.com/login Thanks,",legitimate
"Invoice available Hello all, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Course schedule Hello all, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://university.edu/course Thanks,",legitimate
"Invoice available Hello all, Hi team, please find the attached agenda for our meeting tomorrow. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Netflix account Dear customer, We detected unusual activity on your account. If you do not act, unauthorized login detected. Please confirm now to avoid suspension. This is not spam trust us. Link: https://university.edu/course",phishing
"Security alert for your Microsoft account - urgent Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, unauthorized login detected. Please confirm now to avoid suspension. Please to verify. Link: http://secure-update.net/735",phishing
"Security alert for your Amazon account - click here Dear customer, We detected potentially fraudulent activity on your account. If you do not act, we will close your account. Please verify your identity immediately. This is not spam trust us. Link: https://bit.ly/3267",phishing
"Security alert for your Microsoft account - click here Dear user, We detected potentially fraudulent activity on your account. If you do not act, we will close your account. Please update your payment method. This is not spam trust us. Link: http://login-verify.com/734",phishing
"Security alert for your PayPal account Dear account holder, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please verify your identity immediately. Please to verify. Link: https://short.ly/3712",phishing
"Invoice available Hi team, Thank you for your purchase. Your receipt is attached. For reference: https://university.edu/course Thanks,",legitimate
"Team meeting agenda Hello, Thank you for your purchase. Your receipt is attached. For reference: https://university.edu/course Thanks,",legitimate
"Team meeting agenda Hi team, Thank you for your purchase. Your receipt is attached. For reference: https://company.com/portal Thanks,",legitimate
"Invoice available Hello, Your order has shipped. Tracking information is included below. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Netflix account - unusual activity Dear user, We detected potentially fraudulent activity on your account. If you do not act, your account will be suspended. Please click here to resolve. We notice problem with your account. Link: https://university.edu/course",phishing
"Security alert for your Netflix account - urgent Dear customer, We detected suspicious activity on your account. If you do not act, your account will be suspended. Please click here to resolve. This is not spam trust us. Link: http://account-security.help/524",phishing
"Security alert for your Microsoft account Dear customer, We detected suspicious activity on your account. If you do not act, access will be limited. Please verify your identity immediately. You must act now immediate. Link: https://short.ly/9850",phishing
"Security alert for your Google account - click here Dear customer, We detected suspicious activity on your account. If you do not act, we will close your account. Please verify your identity immediately. This is not spam trust us. Link: https://bit.ly/1472",phishing
"Invoice available Hi team, Here is the policy update for your review. No action is required. For reference: https://university.edu/course Thanks,",legitimate
"Invoice available Hello all, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Apple ID account - click here Dear customer, We detected suspicious activity on your account. If you do not act, unauthorized login detected. Please click here to resolve. We notice problem with your account. Link: https://bit.ly/2528",phishing
"Security alert for your Microsoft account Dear customer, We detected suspicious activity on your account. If you do not act, access will be limited. Please click here to resolve. This is not spam trust us. Link: https://bit.ly/8708",phishing
"Invoice available Dear student, Thank you for your purchase. Your receipt is attached. For reference: https://intranet.company.com/docs Thanks,",legitimate
"Policy update Hi, Your order has shipped. Tracking information is included below. For reference: https://university.edu/course Thanks,",legitimate
"Invoice available Hello, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your Netflix account Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please verify your identity immediately. You must act now immediate. Link: https://short.ly/4598",phishing
"Security alert for your Netflix account Dear customer, We detected suspicious activity on your account. If you do not act, your account will be suspended. Please update your payment method. You must act now immediate. Link: http://login-verify.com/243",phishing
"Project status update Dear student, Here is the monthly report. Let me know if you have any questions. For reference: https://university.edu/course Thanks,",legitimate
"Security alert for your PayPal account - security alert Dear customer, We detected suspicious activity on your account. If you do not act, access will be limited. Please confirm now to avoid suspension. Please to verify. Link: https://service.example.com/login",phishing
"Security alert for your Microsoft account - confirm now Dear user, We detected unusual activity on your account. If you do not act, your account will be suspended. Please verify your identity immediately. This is not spam trust us. Link: https://short.ly/6438",phishing
"Security alert for your Netflix account - password reset Dear account holder, We detected unusual activity on your account. If you do not act, access will be limited. Please click here to resolve. We notice problem with your account. Link: https://university.edu/course",phishing
"Security alert for your Bank of America account Dear user, We detected potentially fraudulent activity on your account. If you do not act, access will be limited. Please update your payment method. We notice problem with your account. Link: https://short.ly/9683",phishing
"Your order receipt Hello, Reminder: maintenance will occur this weekend. No downtime expected. For reference: https://service.example.com/login Thanks,",legitimate
"Security alert for your Bank of America account - unusual activity Dear user, We detected unusual activity on your account. If you do not act, we will close your account. Please update your payment method. You must act now immediate. Link: http://login-verify.com/693",phishing
"Security alert for your Amazon account Dear account holder, We detected potentially fraudulent activity on your account. If you do not act, we will close your account. Please update your payment method. We notice problem with your account. Link: http://account-security.help/536",phishing
"Your order receipt Dear student, Your order has shipped. Tracking information is included below. For reference: https://service.example.com/login Thanks,",legitimate
